time,chanel1,chanel2,chanel3,chanel4,chanel5,chanel6,chanel7,chanel8,position
22.542051315307617,73,61,44,62,52,40,80,62,1
22.564831972122192,87,63,48,64,52,40,77,62,1
22.579084396362305,95,65,48,65,54,46,85,60,1
22.603897094726562,84,62,49,64,52,49,90,57,1
22.62464952468872,93,61,47,61,51,51,83,60,1
22.640297174453735,106,68,45,51,40,45,84,67,1
22.66244411468506,95,69,40,43,39,45,86,67,1
22.68506693840027,92,65,38,45,37,44,82,69,1
22.699076890945435,95,74,38,46,39,42,99,72,1
22.723220825195312,112,85,42,48,43,54,122,86,1
22.745131254196167,116,84,45,48,48,58,124,89,1
22.759451389312744,129,97,57,70,62,79,139,97,1
22.78231644630432,151,121,58,71,60,79,153,116,1
22.80444884300232,156,132,61,75,62,78,147,117,1
22.819462537765503,142,132,60,74,62,72,137,110,1
22.84275221824646,135,134,60,74,61,74,155,108,1
22.864709615707397,126,130,54,56,46,56,146,105,1
22.878973245620728,108,122,56,56,53,64,147,94,1
22.90239930152893,110,113,54,48,48,66,149,100,1
22.924487352371216,106,106,55,48,45,65,145,93,1
22.939082145690918,106,106,53,51,45,61,132,93,1
22.96235418319702,118,109,51,53,46,59,138,96,1
22.985018014907837,109,92,48,49,39,56,135,84,1
22.999069213867188,109,93,45,52,43,58,136,89,1
23.0224666595459,122,108,53,62,51,62,142,104,1
23.04518985748291,126,104,57,62,52,61,132,110,1
23.05951738357544,116,121,61,62,54,58,124,105,1
23.082163095474243,116,129,66,68,63,58,109,103,1
23.10486078262329,109,125,71,69,63,54,106,96,1
23.119194984436035,93,115,69,64,64,55,121,82,1
23.142613649368286,80,126,67,66,64,55,148,78,1
23.164494276046753,83,115,67,67,66,62,156,80,1
23.186794757843018,85,107,62,67,65,65,162,81,1
23.202677726745605,85,109,58,67,64,64,159,72,1
23.224796295166016,94,117,55,63,59,60,143,70,1
23.239015579223633,129,105,55,65,59,68,154,90,1
23.2625093460083,125,90,49,60,52,62,144,86,1
23.28500747680664,125,89,49,51,46,54,135,86,1
23.307265996932983,122,85,51,52,48,55,133,87,1
23.3222873210907,122,84,49,53,48,56,133,96,1
23.346112728118896,88,89,44,45,44,51,87,75,1
23.367313385009766,90,94,47,46,50,52,85,76,1
23.382794618606567,90,93,43,48,49,53,99,73,1
23.405905961990356,90,88,41,50,49,51,97,73,1
23.427643299102783,81,79,38,49,46,54,111,63,1
23.442751169204712,72,85,38,49,46,47,109,59,1
23.464884757995605,61,79,34,49,42,46,108,56,1
23.4873104095459,60,93,40,48,42,42,97,57,1
